!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
equilibrium constant	R_FA160ACPHi		29.04	dimensionless	
equilibrium constant	R_FA120ACPHi		11.48	dimensionless	
equilibrium constant	R_FA80ACPHi		1.738	dimensionless	
equilibrium constant	R_FA140ACPHi		15.32	dimensionless	
equilibrium constant	R_FA100ACPHi		49.8	dimensionless	
equilibrium constant	R_ETOHtrpp		0.3585	dimensionless	
equilibrium constant	R_ACPPAT161		85.4	dimensionless	
equilibrium constant	R_ACPPAT180		1729	dimensionless	
equilibrium constant	R_RNTR1c2		12920	dimensionless	
equilibrium constant	R_RNTR2c2		2079	dimensionless	
equilibrium constant	R_FLDR2		12780	dimensionless	
equilibrium constant	R_VPAMTr		1.735	dimensionless	
equilibrium constant	R_ACPPAT181		88.31	dimensionless	
equilibrium constant	R_APH161		0.5097	dimensionless	
equilibrium constant	R_APH180		2.952	dimensionless	
equilibrium constant	R_APH181		0.5094	dimensionless	
equilibrium constant	R_PIt2rpp		2.752	dimensionless	
equilibrium constant	R_PItpp		0.008712	dimensionless	
equilibrium constant	R_SUCCt1pp		4159	dimensionless	
equilibrium constant	R_RBIO		2.537e+16	dimensionless	
catalytic rate constant geometric mean	R_NDPK5		1.847	1/s	
catalytic rate constant geometric mean	R_SHK3Dr		3.741	1/s	
catalytic rate constant geometric mean	R_NDPK6		0.1121	1/s	
catalytic rate constant geometric mean	R_NDPK8		1.078	1/s	
catalytic rate constant geometric mean	R_DHORTS		5.408	1/s	
catalytic rate constant geometric mean	R_OMPDC		17.83	1/s	
catalytic rate constant geometric mean	R_G5SD		5.4	1/s	
catalytic rate constant geometric mean	R_CS		43.38	1/s	
catalytic rate constant geometric mean	R_ICDHyr		3.341	1/s	
catalytic rate constant geometric mean	R_ACALD		8.967	1/s	
catalytic rate constant geometric mean	R_PPA		52.84	1/s	
catalytic rate constant geometric mean	R_PPCK		30.11	1/s	
catalytic rate constant geometric mean	R_ME1		57.12	1/s	
catalytic rate constant geometric mean	R_ALATA_L		17.12	1/s	
catalytic rate constant geometric mean	R_XYLK		27.55	1/s	
catalytic rate constant geometric mean	R_RBK		18.18	1/s	
catalytic rate constant geometric mean	R_GLYK		4.285	1/s	
catalytic rate constant geometric mean	R_ASPTA		5.322	1/s	
catalytic rate constant geometric mean	R_FBP		41.04	1/s	
catalytic rate constant geometric mean	R_EX_pi_e		5.625	1/s	
catalytic rate constant geometric mean	R_PYK		20.81	1/s	
catalytic rate constant geometric mean	R_EX_co2_e		6.373	1/s	
catalytic rate constant geometric mean	R_GTHOr		0.8906	1/s	
catalytic rate constant geometric mean	R_ILETA		4.551	1/s	
catalytic rate constant geometric mean	R_DHORD5		0.08597	1/s	
catalytic rate constant geometric mean	R_VALTA		4.108	1/s	
catalytic rate constant geometric mean	R_IPPMIb		2.873	1/s	
catalytic rate constant geometric mean	R_ORPT		14.94	1/s	
catalytic rate constant geometric mean	R_ACHBS		18.07	1/s	
catalytic rate constant geometric mean	R_DHAD2		91.2	1/s	
catalytic rate constant geometric mean	R_ACLS		37.5	1/s	
catalytic rate constant geometric mean	R_TRPS2		17.75	1/s	
catalytic rate constant geometric mean	R_PSCVT		4.705	1/s	
catalytic rate constant geometric mean	R_PFL		45.54	1/s	
catalytic rate constant geometric mean	R_ANS		269.4	1/s	
catalytic rate constant geometric mean	R_FRD2		6.882	1/s	
catalytic rate constant geometric mean	R_ANPRT		30.76	1/s	
catalytic rate constant geometric mean	R_CHORM		3261	1/s	
catalytic rate constant geometric mean	R_PTAr		34.06	1/s	
catalytic rate constant geometric mean	R_CHORS		300.8	1/s	
catalytic rate constant geometric mean	R_IGPS		38.16	1/s	
catalytic rate constant geometric mean	R_ACKr		88.87	1/s	
catalytic rate constant geometric mean	R_LEUTAi		3.273	1/s	
catalytic rate constant geometric mean	R_EX_glcn_e		4.494	1/s	
catalytic rate constant geometric mean	R_EX_h_e		7.041	1/s	
catalytic rate constant geometric mean	R_EX_gln__L_e		5.062	1/s	
catalytic rate constant geometric mean	R_EX_glyc_e		4.631	1/s	
catalytic rate constant geometric mean	R_EX_ac_e		5.027	1/s	
catalytic rate constant geometric mean	R_EX_akg_e		5.035	1/s	
catalytic rate constant geometric mean	R_EX_pyr_e		4.688	1/s	
